RT,Avai,Thr,Late,Place
3914.8,31.9,4.8,0,1
2227.6,25.9,14.1,0,2
1802.3,49.3,18.5,0,0
1660.7,47.8,12.3,0,3
1410.9,14.7,35.7,0,3
4974.3,10.8,8.9,0,2
980.3,67.1,30.0,0,0
1752.1,50.4,30.9,0,3
1716.6,83.5,24.3,0,3
2414.3,37.9,23.5,0,2
1073.7,19.1,18.5,0,2
800.4,74.2,16.5,0,0
3899.6,87.4,35.6,0,0
4254.8,88.2,29.4,0,3
128.2,65.0,17.6,0,1
4679.1,11.2,10.7,0,3
2839.5,48.1,30.9,0,0
3229.8,17.6,0.8,0,1
87.7,11.1,27.3,0,2
1238.4,57.9,25.7,0,1
3684.7,51.8,29.3,0,0
151.5,60.2,1.2,0,0
1917.3,62.1,0.3,0,2
1864.5,43.3,11.1,0,2
1804.5,27.9,39.4,0,1
2558.1,24.0,19.5,0,2
2785.0,26.8,28.3,0,1
386.8,23.0,32.6,0,2
1356.7,37.9,28.4,0,3
3157.0,17.9,25.3,0,2
548.6,57.7,36.8,0,1
612.1,58.7,13.1,0,3
3564.9,58.5,15.8,0,3
2119.8,42.2,14.4,0,3
1692.2,7.7,4.4,0,1
1944.9,43.3,17.2,0,3
1052.6,82.3,24.9,0,3
641.0,52.5,28.7,0,3
2633.8,81.8,5.6,0,2
4103.2,58.9,5.3,0,0
534.9,97.4,40.0,0,0
407.3,62.7,45.4,0,2
2820.3,29.6,32.3,0,0
4788.7,19.7,16.3,0,1
1392.3,72.3,9.1,0,2
1550.3,62.1,18.0,0,1
2581.7,36.9,1.5,0,3
3988.5,13.6,31.5,0,2
1169.5,69.5,34.2,0,0
4136.9,45.8,3.6,0,1
909.6,31.7,19.1,0,0
1195.2,10.0,16.3,0,2
2000.0,68.5,5.5,0,1
3649.0,48.1,23.6,0,0
796.8,13.8,9.3,0,0
993.2,46.8,27.2,0,2
1543.8,65.2,0.9,0,3
671.3,40.0,35.8,0,0
1596.4,32.6,6.9,0,0
257.7,47.1,16.7,0,3
4548.3,47.4,15.2,0,3
658.2,51.2,4.0,0,0
520.2,15.7,28.9,0,0
3381.3,64.2,32.4,0,3
201.6,30.5,2.3,0,3
906.8,43.8,25.8,0,1
1212.7,28.4,11.3,0,0
4051.2,35.6,15.7,0,3
2334.3,65.5,29.6,0,2
3588.3,77.7,14.4,0,2
2269.9,69.1,23.8,0,3
1454.6,61.3,42.0,0,0
968.4,11.7,28.0,0,1
2187.7,52.3,13.8,0,2
2358.8,63.3,38.1,0,0
1413.3,64.7,15.2,0,0
1147.6,12.6,32.0,0,0
1964.5,17.7,15.9,0,0
505.8,12.1,25.2,0,3
1097.3,78.4,35.8,0,1
1032.0,65.7,33.3,0,2
1574.5,61.4,26.7,0,0
454.2,70.5,23.1,0,3
3713.1,18.7,36.1,0,3
1305.0,9.5,1.5,0,1
982.6,43.6,12.3,0,3
220.3,30.5,20.6,0,0
2590.5,40.7,40.2,0,0
616.1,72.1,27.4,0,2
1257.4,30.8,17.1,0,3
3314.2,22.2,23.8,0,2
3617.7,81.0,18.0,0,1
3523.9,31.3,20.3,0,3
1178.4,35.5,7.8,0,0
1393.6,8.8,30.9,0,0
1982.7,17.5,8.0,0,1
4627.1,33.4,0.8,0,2
1963.2,23.6,13.0,0,3
2124.6,41.0,24.0,0,1
4521.6,11.5,13.0,0,2
2276.4,21.0,9.7,0,0
2640.3,65.3,9.6,0,2
356.9,13.2,11.5,0,3
3414.0,65.5,4.3,0,0
2167.6,70.7,1.3,0,3
2048.8,68.4,11.0,0,2
913.7,19.3,37.5,0,3
848.7,22.4,17.2,0,3
1101.9,79.2,42.2,0,1
1146.8,56.5,18.5,0,3
1911.9,36.6,11.1,0,3
2987.7,16.1,12.9,0,1
2152.8,49.0,26.4,0,2
2574.5,7.7,45.7,0,2
1373.5,27.4,27.9,0,2
4468.6,23.4,17.2,0,0
1437.7,75.6,22.9,0,3
211.8,42.4,27.6,0,0
3127.7,8.6,29.0,0,2
2408.6,25.2,13.2,0,2
1014.0,30.0,25.2,0,0
2673.6,87.7,14.6,0,1
5304.7,29.5,18.0,0,1
4485.3,16.1,35.6,0,1
2420.9,56.8,40.7,0,3
3512.2,50.7,1.8,0,1
2179.6,36.4,24.4,0,2
3911.9,33.0,30.8,0,1
4559.7,15.3,23.9,0,1
1526.9,32.9,7.0,0,1
776.9,21.9,25.6,0,0
2634.1,74.6,9.8,0,1
4782.3,35.3,16.5,0,0
1545.5,71.6,24.0,0,1
3232.9,85.0,24.0,0,1
622.1,58.7,18.5,0,3
1870.3,39.5,37.1,0,1
1784.2,26.8,38.6,0,3
2190.8,45.3,9.2,0,2
2637.2,49.9,3.7,0,1
827.6,43.7,33.4,0,3
4400.3,26.9,9.4,0,1
2635.4,33.2,29.7,0,1
2207.5,87.8,34.0,0,2
1943.6,43.0,20.9,0,2
