RT,Avai,Thr,Late,Place,Label
3914.8,31.9,4.8,0.0,1,0.46969
2227.6,25.9,14.1,0.0,2,0.52043
1802.3,49.3,18.5,0.0,0,0.62426
1660.7,47.8,12.3,0.0,3,0.59455
1410.9,14.7,35.7,0.0,3,0.58912
4974.3,10.8,8.9,0.0,2,0.40085
980.3,67.1,30.0,0.0,0,0.71822
1752.1,50.4,30.9,0.0,3,0.65192
1716.6,83.5,24.3,0.0,3,0.71996
2414.3,37.9,23.5,0.0,2,0.57021
1073.7,19.1,18.5,0.0,2,0.55148
800.4,74.2,16.5,0.0,0,0.70656
3899.6,87.4,35.6,0.0,0,0.70993
4254.8,88.2,29.4,0.0,3,0.68539
128.2,65.0,17.6,0.0,1,0.68849
4679.1,11.2,10.7,0.0,3,0.42968
2839.5,48.1,30.9,0.0,0,0.62646
3229.8,17.6,0.8,0.0,1,0.44497
87.7,11.1,27.3,0.0,2,0.57886
1238.4,57.9,25.7,0.0,1,0.66231
3684.7,51.8,29.3,0.0,0,0.61047
151.5,60.2,1.2,0.0,0,0.64954
1917.3,62.1,0.3,0.0,2,0.58996
1864.5,43.3,11.1,0.0,2,0.57133
1804.5,27.9,39.4,0.0,1,0.60603
2558.1,24.0,19.5,0.0,2,0.53029
2785.0,26.8,28.3,0.0,1,0.55189
386.8,23.0,32.6,0.0,2,0.60885
1356.7,37.9,28.4,0.0,3,0.62053
3157.0,17.9,25.3,0.0,2,0.51657
548.6,57.7,36.8,0.0,1,0.70036
612.1,58.7,13.1,0.0,3,0.65104
3564.9,58.5,15.8,0.0,3,0.58982
2119.8,42.2,14.4,0.0,3,0.58687
1692.2,7.7,4.4,0.0,1,0.46309
1944.9,43.3,17.2,0.0,3,0.589
1052.6,82.3,24.9,0.0,3,0.72706
641.0,52.5,28.7,0.0,3,0.6725
2633.8,81.8,5.6,0.0,2,0.63077
4103.2,58.9,5.3,0.0,0,0.55768
534.9,97.4,40.0,0.0,0,0.83003
407.3,62.7,45.4,0.0,2,0.73616
2820.3,29.6,32.3,0.0,0,0.58419
4788.7,19.7,16.3,0.0,1,0.45732
1392.3,72.3,9.1,0.0,2,0.65449
1550.3,62.1,18.0,0.0,1,0.64256
2581.7,36.9,1.5,0.0,3,0.52908
3988.5,13.6,31.5,0.0,2,0.49258
1169.5,69.5,34.2,0.0,0,0.72986
4136.9,45.8,3.6,0.0,1,0.49862
909.6,31.7,19.1,0.0,0,0.60411
1195.2,10.0,16.3,0.0,2,0.51359
2000.0,68.5,5.5,0.0,1,0.61489
3649.0,48.1,23.6,0.0,0,0.58792
796.8,13.8,9.3,0.0,0,0.53775
993.2,46.8,27.2,0.0,2,0.63539
1543.8,65.2,0.9,0.0,3,0.61725
671.3,40.0,35.8,0.0,0,0.67269
1596.4,32.6,6.9,0.0,0,0.55881
257.7,47.1,16.7,0.0,3,0.65163
4548.3,47.4,15.2,0.0,3,0.52775
658.2,51.2,4.0,0.0,0,0.62147
520.2,15.7,28.9,0.0,0,0.59844
3381.3,64.2,32.4,0.0,3,0.64288
201.6,30.5,2.3,0.0,3,0.56561
906.8,43.8,25.8,0.0,1,0.63785
1212.7,28.4,11.3,0.0,0,0.56873
4051.2,35.6,15.7,0.0,3,0.51238
2334.3,65.5,29.6,0.0,2,0.65816
3588.3,77.7,14.4,0.0,2,0.62418
2269.9,69.1,23.8,0.0,3,0.6666
1454.6,61.3,42.0,0.0,0,0.72183
968.4,11.7,28.0,0.0,1,0.55691
2187.7,52.3,13.8,0.0,2,0.59338
2358.8,63.3,38.1,0.0,0,0.6945
1413.3,64.7,15.2,0.0,0,0.66436
1147.6,12.6,32.0,0.0,0,0.58266
1964.5,17.7,15.9,0.0,0,0.53471
505.8,12.1,25.2,0.0,3,0.567
1097.3,78.4,35.8,0.0,1,0.74001
1032.0,65.7,33.3,0.0,2,0.70205
1574.5,61.4,26.7,0.0,0,0.68071
454.2,70.5,23.1,0.0,3,0.70674
3713.1,18.7,36.1,0.0,3,0.53214
1305.0,9.5,1.5,0.0,1,0.48007
982.6,43.6,12.3,0.0,3,0.60843
220.3,30.5,20.6,0.0,0,0.62219
2590.5,40.7,40.2,0.0,0,0.63741
616.1,72.1,27.4,0.0,2,0.71959
1257.4,30.8,17.1,0.0,3,0.57116
3314.2,22.2,23.8,0.0,2,0.50886
3617.7,81.0,18.0,0.0,1,0.6338
3523.9,31.3,20.3,0.0,3,0.53079
1178.4,35.5,7.8,0.0,0,0.57876
1393.6,8.8,30.9,0.0,0,0.56431
1982.7,17.5,8.0,0.0,1,0.4948
4627.1,33.4,0.8,0.0,2,0.45443
1963.2,23.6,13.0,0.0,3,0.53426
2124.6,41.0,24.0,0.0,1,0.5857
4521.6,11.5,13.0,0.0,2,0.42737
2276.4,21.0,9.7,0.0,0,0.51976
2640.3,65.3,9.6,0.0,2,0.60358
356.9,13.2,11.5,0.0,3,0.54063
3414.0,65.5,4.3,0.0,0,0.58907
2167.6,70.7,1.3,0.0,3,0.61628
2048.8,68.4,11.0,0.0,2,0.62545
913.7,19.3,37.5,0.0,3,0.61493
848.7,22.4,17.2,0.0,3,0.57456
1101.9,79.2,42.2,0.0,1,0.75745
1146.8,56.5,18.5,0.0,3,0.64585
1911.9,36.6,11.1,0.0,3,0.5639
2987.7,16.1,12.9,0.0,1,0.48037
2152.8,49.0,26.4,0.0,2,0.61447
2574.5,7.7,45.7,0.0,2,0.5488
1373.5,27.4,27.9,0.0,2,0.59118
4468.6,23.4,17.2,0.0,0,0.48972
1437.7,75.6,22.9,0.0,3,0.70438
211.8,42.4,27.6,0.0,0,0.66968
3127.7,8.6,29.0,0.0,2,0.49795
2408.6,25.2,13.2,0.0,2,0.52145
1014.0,30.0,25.2,0.0,0,0.61262
2673.6,87.7,14.6,0.0,1,0.66678
5304.7,29.5,18.0,0.0,1,0.46649
4485.3,16.1,35.6,0.0,1,0.5012
2420.9,56.8,40.7,0.0,3,0.66965
3512.2,50.7,1.8,0.0,1,0.52393
2179.6,36.4,24.4,0.0,2,0.57365
