"RT","Avai","Thr","Late","Place"
"470.6","61.1","19","970","1"
"3494","50","37.4","2","0"
"4776.2","45.2","27.2","445","3"
"1579.1","43.1","23.9","280","3"
"508.3","86.7","28.1","937","2"
"57","86","40.1","582","1"
"61.42","80","8.6","356","3"
"175.6","51","6.4","9","0"
"466.7","66","6","8","0"
"446.8","7.4","19","3","0"
"500.8","22.1","43.8","336","3"
"639.5","42.8","22.3","587","1"
"563","80","2.3","501","2"
"1815.3","28.9","29","788","2"
"210.2","84.4","23.3","941","2"
"1613.5","33.8","25.7","788","1"
"283.3","46.4","43.9","599","3"
"1562.7","6.6","30.6","714","1"
"164","71","11.2","901","2"
"342.2","8.7","25.1","757","1"
"265.4","99","1.5","364","3"
"275.87","85","6.5","655","2"
"3399","39.2","16.9","959","1"
"127.68","59","8.5","766","2"
"664","83","13.6","9","0"
"2985.8","65.6","17.3","955","1"
"837","72","6.8","4","0"
"199","96","13.5","185","3"
"160.6","39.1","17.2","526","2"
"3436.6","23.4","5.1","9","0"
"1451.1","58.4","20.5","3","0"
"769.4","90.2","5","540","3"
"3351.3","67.7","28.8","298","3"
"579","66.9","17","1","0"
"389.4","20.9","16.7","729","1"
"740.7","68.9","32.6","891","1"
"3567.1","32.1","40.5","540","3"
"130.08","95","13.1","334","3"
"3059.1","6.9","23.6","6","0"
"3548.8","84.7","3.3","858","1"
"305","83","26.9","724","1"
"2500.2","35.9","2","851","2"
"1240.7","57.4","33.5","883","1"
"2072.2","18.4","38.2","585","1"
"791.4","7.5","12.6","649","3"
"1840.9","83.5","36.5","704","2"
"1548.5","76.4","2.5","872","2"
"1750.6","28.8","11.8","860","2"
"1097","64.8","13.5","551","3"
"407.5","79.7","3.9","556","3"
"113.33","91","5.7","411","3"
"867.73","94","4","888","2"
"1534","52.7","4.9","873","1"
"1861.4","48.8","7.6","977","1"
"134","97","29.9","9","0"
"1211.2","45","31.6","976","2"
"2995.2","22.1","3.6","145","3"
"356.5","93","10.3","902","1"
"176","90","13.8","4","0"
"4391.4","45.8","31.1","412","3"
"164","86","3.4","5","0"
"1293.6","98.6","27.5","680","3"
"223.67","63","5.1","8","0"
"233.4","91","1.4","965","1"
"469.2","76.4","33.1","713","2"
"1711.6","63.3","31.5","7","0"
"1246.1","74.8","25.1","568","2"
"326.7","81.4","24.5","992","1"
"3224.3","43","6.2","822","2"
"286.5","75.3","31","305","3"
"289.75","39","2.7","878","2"
"3309.5","83.1","14.9","1","0"
"346.4","66.8","11.8","129","3"
"3868.3","94.1","22.8","645","3"
"1180.7","56.3","6.1","574","1"
"409.67","99","10.9","861","2"
"1202.2","9.4","24.1","718","1"
"234.12","70","2.9","6","0"
"1660.8","44","37.3","7","0"
"144.88","57","7.7","808","1"
"151","92","12.2","3","0"
"166","86","25.7","907","1"
"349","91","21.3","573","2"
"4169.1","42","11.7","1","0"
"2047.3","79","5.5","521","1"
"2186.1","48.4","10.6","972","2"
"183.7","70.8","10.4","665","3"
"145.25","56","11.8","226","3"
"323","90","23.5","582","2"
"2839.4","19.7","32.3","763","1"
"1663.1","97.1","27.2","719","2"
"2039.3","61.1","1.8","618","1"
"2908.2","93.7","15.1","957","1"
"109.3","72.4","36","955","1"
"204.6","96","1.9","621","1"
"3266.6","58.1","33.2","965","2"
"1387.9","52.9","16.3","553","3"
"2306.5","34.2","32.1","881","1"
"84","95","22.4","599","2"
"122","86","14.5","954","1"
"2590.5","18.8","12","907","2"
"3230.4","27.6","12.1","594","3"
"1484","43.9","13.8","8","0"
"1328.5","56","3.8","4","0"
"1549.7","86","15","929","2"
"353.75","66","3.5","551","1"
"2712","72","27.7","828","2"
"128.8","98","11.6","578","2"
"174.67","85","11.1","822","2"
"4229","24.4","13.2","3","0"
"2371.3","41.1","28.7","7","0"
"757.5","72.7","23.4","156","3"
"3632.3","72.9","29.8","648","2"
"577.4","18.6","31.8","5","0"
"335.58","65","8.9","7","0"
"3773.6","12","39.8","894","2"
"432","86","8.8","563","2"
"303","91","12.3","3","0"
"3062.6","59.3","11.7","529","2"
"2324.8","20.3","43","771","2"
"2411","72.1","17.7","268","3"
"3258.9","56.2","27.2","708","2"
"384.4","90","1.9","897","2"
"2375","62.2","19.2","739","1"
"1042.17","82","3.1","7","0"
"2944.8","63.3","20","2","0"
"86.27","55","12","211","3"
"2990.8","45.2","22.1","2","0"
"1439.7","59.9","36.4","10","3"
"2244","32","14.8","660","2"
"2872.9","28.9","3.9","546","2"
"372.7","91","4.4","2","0"
"1099.1","55.4","14.2","6","0"
"2934","24","2.6","8","0"
"3266.8","85.1","27.6","896","2"
"3142.2","33.4","16.8","331","3"
"179.5","94","10.5","383","3"
"4281","59","2","311","3"
"3091.5","70.7","36.3","976","1"
"376.64","100","7.3","918","1"
"539.72","23","4","561","2"
"2710","35.6","5.5","937","2"
"2257.7","53.1","17","959","2"
"3796.9","81.3","12.7","8","0"
"286.3","51.8","5.8","4","0"
"165","92","25.6","2","0"
"2805.7","53.5","36.6","607","2"
"231","83","19.6","610","1"
"486.5","99","5.5","539","2"
"154","95","14.9","7","0"
"3583.4","65.8","11","628","3"
"277","86","4.4","539","2"
"3892.1","11.4","7.6","874","2"
"231.8","87","1.1","796","1"
"55.5","81","19.1","925","1"
"4751","14.5","26.2","7","0"
"2735.2","13.8","24.4","279","3"
"168.9","28.2","42.4","705","2"
"2653.6","30.9","4.8","1","0"
"2561","18.1","10.6","681","1"
"2319.6","46.1","22.3","641","2"
"3258.8","42.4","6.4","2","0"
"1497.9","36.2","20.1","281","3"
"424.83","46","3.7","843","1"
"876.5","21.4","6.2","863","1"
"169.2","83.1","38.4","3","0"
"1344.2","57.9","5.2","709","2"
"4167","7.5","38.7","602","1"
"2848.6","13","32.3","555","2"
"739.6","7.7","30.9","512","1"
"4158.8","31.4","22","947","2"
"3207.8","73.4","28.8","856","1"
"143.9","63.5","11.8","884","2"
"126.83","100","15.7","8","0"
"3049.3","57.5","2.7","483","3"
"107.45","97","13.3","657","2"
